date,time,lower,upper
2009-07-27,11,0.905,0.963
2009-07-27,12,0.561,0.581
2009-07-27,13,0.614,0.654
2009-07-27,14,0.591,0.627
2009-07-27,15,0.569,0.603
2009-07-27,16,0.55,0.608
2009-07-27,17,0.598,0.628
2009-07-27,18,0.544,0.633
2009-07-27,19,0.325,2.21
2009-07-27,20,1.728,2.876
2009-07-27,21,0.741,1.948
2009-07-27,22,1.558,3.41
2009-07-27,23,1.656,2.64
2009-07-27,24,1.106,2.632
2009-07-28,1,0.91,1.023
2009-07-28,2,0.735,1.248
2009-07-28,3,0.83,0.835
2009-07-28,4,0.346,0.662
2009-07-28,5,0.386,0.576
2009-07-28,6,0.559,0.594
2009-07-28,7,0.402,0.885
2009-07-28,8,0.606,0.657
2009-07-28,9,0.557,0.558
2009-07-28,10,0.352,0.716
2009-07-28,11,0.744,1.139
2009-07-28,12,0.41,0.783
2009-07-28,13,0.693,0.733
2009-07-28,14,0.773,1.243
2009-07-28,15,0.646,0.803
2009-07-28,16,0.606,0.755
2009-07-28,17,0.763,0.788
2009-07-28,18,0.728,0.779
2009-07-28,19,0.67,0.826
2009-07-28,20,0.702,0.717
2009-07-28,21,0.467,0.839
2009-07-28,22,0.683,0.714
2009-07-28,23,1.687,1.871
2009-07-28,24,0.563,0.765
2009-07-29,1,0.617,0.933
2009-07-29,2,0.629,0.751
2009-07-29,3,0.342,0.701
2009-07-29,4,0.353,0.634
2009-07-29,5,0.271,0.644
2009-07-29,6,0.271,0.626
2009-07-29,7,0.525,0.633
2009-07-29,8,0.257,0.605
2009-07-29,9,0.344,0.562
2009-07-29,10,0.789,0.807
2009-07-29,11,0.618,0.756
2009-07-29,12,0.633,0.666
2009-07-29,13,0.333,0.596
2009-07-29,14,0.675,0.754
2009-07-29,15,0.443,0.598
2009-07-29,16,0.396,0.588
2009-07-29,17,0.578,0.6
2009-07-29,18,0.389,0.607
2009-07-29,19,0.615,0.662
2009-07-29,20,0.707,0.767
2009-07-29,21,0.548,0.608
2009-07-29,22,0.355,0.712
2009-07-29,23,0.637,1.334
2009-07-29,24,0.851,0.919
2009-07-30,1,0.422,0.741
2009-07-30,2,0.692,0.732
2009-07-30,3,0.388,0.673
2009-07-30,4,0.298,0.417
2009-07-30,5,0.42,0.481
2009-07-30,6,0.326,0.43
2009-07-30,7,0.242,0.52
2009-07-30,8,0.259,0.441
2009-07-30,9,0.448,0.563
2009-07-30,10,0.236,0.754
2009-07-30,11,0.462,0.674
2009-07-30,12,0.296,0.709
2009-07-30,13,0.423,0.594
2009-07-30,14,0.326,0.671
2009-07-30,15,0.374,0.598
2009-07-30,16,0.515,0.652
2009-07-30,17,0.325,0.585
2009-07-30,18,0.412,0.521
2009-07-30,19,0.996,2.286
2009-07-30,20,1.411,2.229
2009-07-30,21,0.613,1.072
2009-07-30,22,0.491,0.624
2009-07-30,23,0.47,0.677
2009-07-30,24,0.409,0.691
2009-07-31,1,1.541,1.74
2009-07-31,2,0.83,0.85
2009-07-31,3,0.471,0.709
2009-07-31,4,0.308,0.504
2009-07-31,5,0.325,0.592
2009-07-31,6,0.347,0.493
2009-07-31,7,0.294,0.471
2009-07-31,8,0.542,0.61
2009-07-31,9,0.307,0.548
2009-07-31,10,0.249,0.517
2009-07-31,11,0.368,1.395
2009-07-31,12,0.222,0.637
2009-07-31,13,0.637,0.661
2009-07-31,14,0.311,0.563
2009-07-31,15,0.187,0.568
2009-07-31,16,0.391,0.505
2009-07-31,17,0.135,0.45
2009-07-31,18,0.365,0.433
2009-07-31,19,0.239,0.602
2009-07-31,20,0.398,0.568
2009-07-31,21,0.559,0.597
2009-07-31,22,0.499,0.701
2009-07-31,23,0.629,0.783
2009-07-31,24,0.714,0.798
2009-08-01,1,0.794,0.962
2009-08-01,2,0.628,0.985
2009-08-01,3,0.848,0.951
2009-08-01,4,0.389,0.681
2009-08-01,5,0.514,0.561
2009-08-01,6,0.375,0.502
2009-08-01,7,0.345,0.727
2009-08-01,8,0.521,0.562
2009-08-01,9,0.405,0.557
2009-08-01,10,0.565,0.595
2009-08-01,11,0.549,0.772
2009-08-01,12,0.85,0.897
2009-08-01,13,0.556,0.9
2009-08-01,14,1.183,1.586
2009-08-01,15,0.832,1.324
2009-08-01,16,0.69,0.767
2009-08-01,17,0.657,0.884
2009-08-01,18,0.673,0.909
2009-08-01,19,0.607,0.881
2009-08-01,20,0.591,0.868
2009-08-01,21,0.866,0.881
2009-08-01,22,1.709,1.793
2009-08-01,23,0.971,1.092
2009-08-01,24,0.913,1.05
2009-08-02,1,1.096,1.148
2009-08-02,2,1.0,1.181
2009-08-02,3,0.792,1.066
2009-08-02,4,0.388,0.773
2009-08-02,5,0.562,0.689
2009-08-02,6,0.465,0.654
2009-08-02,7,0.479,0.55
2009-08-02,8,0.379,0.636
2009-08-02,9,0.636,0.679
2009-08-02,10,0.367,0.766
2009-08-02,11,0.478,0.537
2009-08-02,12,0.724,0.857
2009-08-02,13,0.626,0.666
2009-08-02,14,0.614,0.62
2009-08-02,15,0.582,0.694
2009-08-02,16,0.594,0.926
2009-08-02,17,0.6,1.062
2009-08-02,18,0.864,0.987
2009-08-02,19,1.293,1.526
2009-08-02,20,0.604,2.39
2009-08-02,21,0.819,2.375
2009-08-02,22,0.362,0.758
2009-08-02,23,0.374,0.51
2009-08-02,24,0.509,0.534
2009-08-03,1,0.391,0.664
2009-08-03,2,0.427,0.54
2009-08-03,3,0.266,0.572
2009-08-03,4,0.302,0.446
2009-08-03,5,0.477,0.672
2009-08-03,6,0.408,0.567
2009-08-03,7,0.545,0.646
2009-08-03,8,0.399,0.587
2009-08-03,9,0.575,0.602
2009-08-03,10,0.386,0.561
2009-08-03,11,0.365,0.675
2009-08-03,12,0.604,0.621
2009-08-03,13,0.558,0.694
2009-08-03,14,0.315,0.633
2009-08-03,15,0.497,0.608
2009-08-03,16,0.577,0.767
2009-08-03,17,0.576,0.704
2009-08-03,18,0.459,0.675
2009-08-03,19,0.519,0.931
2009-08-03,20,0.812,1.575
2009-08-03,21,1.17,1.273
2009-08-03,22,1.546,2.829
2009-08-03,23,1.193,2.059
2009-08-03,24,0.594,1.067
2009-08-04,1,0.439,0.76
2009-08-04,2,0.714,0.813
2009-08-04,3,0.514,0.536
2009-08-04,4,0.314,0.611
2009-08-04,5,0.466,0.623
2009-08-04,6,0.237,0.499
2009-08-04,7,0.28,0.406
2009-08-04,8,0.453,0.498
2009-08-04,9,0.45,0.685
2009-08-04,10,0.541,1.047
2009-08-04,11,0.428,0.7
2009-08-04,12,0.332,0.704
2009-08-04,13,0.613,0.633
2009-08-04,14,0.579,0.774
2009-08-04,15,0.59,0.827
2009-08-04,16,0.592,0.733
2009-08-04,17,0.532,0.741
2009-08-04,18,0.763,1.354
2009-08-04,19,0.519,0.792
2009-08-04,20,0.71,0.746
2009-08-04,21,0.558,0.724
2009-08-04,22,0.918,1.135
2009-08-04,23,0.964,1.944
2009-08-04,24,1.428,2.194
2009-08-05,1,0.944,1.01
2009-08-05,2,0.661,1.019
2009-08-05,3,0.703,0.827
2009-08-05,4,0.521,0.755
2009-08-05,5,0.487,0.875
2009-08-05,6,0.816,0.827
2009-08-05,7,0.415,0.742
2009-08-05,8,0.447,0.639
2009-08-05,9,0.394,0.931
2009-08-05,10,0.413,0.617
2009-08-05,11,0.348,0.768
2009-08-05,12,0.488,0.638
2009-08-05,13,0.327,0.498
2009-08-05,14,0.462,0.542
2009-08-05,15,0.293,0.495
2009-08-05,16,0.331,0.611
2009-08-05,17,0.437,0.562
2009-08-05,18,0.364,0.543
2009-08-05,19,0.638,0.773
2009-08-05,20,1.419,1.628
2009-08-05,21,0.924,1.156
2009-08-05,22,0.628,0.684
2009-08-05,23,0.573,0.71
2009-08-05,24,0.542,0.693
2009-08-06,1,0.667,0.786
2009-08-06,2,0.566,0.586
2009-08-06,3,0.48,0.625
2009-08-06,4,0.417,0.536
2009-08-06,5,0.579,0.58
2009-08-06,6,0.402,0.535
2009-08-06,7,0.427,0.661
2009-08-06,8,0.267,0.483
2009-08-06,9,0.558,0.659
2009-08-06,10,0.359,0.556
2009-08-06,11,0.38,0.456
2009-08-06,12,0.748,0.749
2009-08-06,13,0.939,1.1
2009-08-06,14,0.657,1.14
2009-08-06,15,0.71,0.771
2009-08-06,16,1.116,1.15
2009-08-06,17,0.722,0.822
2009-08-06,18,0.593,0.853
2009-08-06,19,0.724,0.811
2009-08-06,20,0.778,0.791
2009-08-06,21,0.537,0.81
2009-08-06,22,0.675,0.883
2009-08-06,23,0.768,0.892
2009-08-06,24,0.838,0.921
2009-08-07,1,0.574,0.824
2009-08-07,2,0.575,0.613
2009-08-07,3,0.382,0.469
2009-08-07,4,0.295,0.611
2009-08-07,5,0.471,0.497
2009-08-07,6,0.218,0.474
2009-08-07,7,0.175,0.52
2009-08-07,8,0.48,0.488
2009-08-07,9,0.274,0.744
2009-08-07,10,0.5,0.808
2009-08-07,11,0.263,1.28
2009-08-07,12,0.656,1.699
2009-08-07,13,0.549,0.684
2009-08-07,14,0.833,0.894
2009-08-07,15,0.229,0.49
2009-08-07,16,0.332,0.7
2009-08-07,17,0.567,0.63
2009-08-07,18,0.338,0.895
2009-08-07,19,1.442,1.585
2009-08-07,20,0.575,1.046
2009-08-07,21,0.558,0.724
2009-08-07,22,0.775,0.827
2009-08-07,23,0.519,0.759
2009-08-07,24,0.679,0.954
2009-08-08,1,0.483,0.671
2009-08-08,2,0.692,0.768
2009-08-08,3,0.464,0.852
2009-08-08,4,0.33,0.866
2009-08-08,5,0.314,0.699
2009-08-08,6,0.499,0.652
2009-08-08,7,0.282,0.523
2009-08-08,8,0.331,0.513
2009-08-08,9,0.487,0.493
2009-08-08,10,0.379,0.457
2009-08-08,11,0.506,0.573
2009-08-08,12,0.514,0.868
2009-08-08,13,0.402,0.864
2009-08-08,14,0.626,0.703
2009-08-08,15,0.347,0.652
2009-08-08,16,0.333,0.549
2009-08-08,17,0.458,0.607
2009-08-08,18,0.455,0.564
2009-08-08,19,0.512,0.515
2009-08-08,20,0.599,0.736
2009-08-08,21,0.605,0.644
2009-08-08,22,0.542,0.907
2009-08-08,23,0.609,0.831
2009-08-08,24,0.76,0.766
2009-08-09,1,0.542,0.805
2009-08-09,2,0.795,0.808
2009-08-09,3,0.782,1.496
2009-08-09,4,0.774,1.923
2009-08-09,5,0.878,1.085
2009-08-09,6,0.713,0.887
2009-08-09,7,0.429,0.884
2009-08-09,8,0.515,0.684
2009-08-09,9,0.591,0.668
2009-08-09,10,0.525,0.667
2009-08-09,11,0.577,0.704
2009-08-09,12,0.483,0.573
2009-08-09,13,0.457,0.663
2009-08-09,14,0.387,0.633
2009-08-09,15,0.782,1.095
2009-08-09,16,0.794,0.886
2009-08-09,17,0.624,0.853
2009-08-09,18,0.677,1.408
2009-08-09,19,1.483,2.48
2009-08-09,20,2.199,3.113
2009-08-09,21,1.611,3.512
2009-08-09,22,0.498,2.27
2009-08-09,23,1.53,2.313
2009-08-09,24,1.15,1.155
2009-08-10,1,0.809,1.117
2009-08-10,2,0.763,1.02
2009-08-10,3,0.557,1.687
2009-08-10,4,0.326,0.6
2009-08-10,5,0.257,0.497
2009-08-10,6,0.427,0.557
2009-08-10,7,0.307,0.608
2009-08-10,8,0.208,0.581
2009-08-10,9,0.238,0.537
2009-08-10,10,0.625,0.742
2009-08-10,11,0.95,1.662
2009-08-10,12,0.488,0.775
2009-08-10,13,0.375,0.556
2009-08-10,14,0.541,0.722
2009-08-10,15,0.714,0.737
2009-08-10,16,0.521,0.957
2009-08-10,17,0.646,0.764
2009-08-10,18,0.475,0.682
2009-08-10,19,0.325,0.814
2009-08-10,20,0.625,0.642
2009-08-10,21,0.446,0.698
2009-08-10,22,0.746,1.927
2009-08-10,23,0.864,2.074
2009-08-10,24,0.86,1.239
2009-08-11,1,0.672,0.781
2009-08-11,2,0.752,0.809
2009-08-11,3,0.615,0.649
2009-08-11,4,0.393,0.537
2009-08-11,5,0.292,0.435
2009-08-11,6,0.409,0.563
2009-08-11,7,0.263,0.5
2009-08-11,8,0.341,0.387
2009-08-11,9,0.573,0.626
2009-08-11,10,0.288,1.724
2009-08-11,11,0.653,0.761
2009-08-11,12,0.575,0.606
2009-08-11,13,0.409,0.66
2009-08-11,14,0.653,0.658
2009-08-11,15,0.531,0.556
2009-08-11,16,0.517,0.518
2009-08-11,17,0.431,0.619
2009-08-11,18,0.37,0.854
2009-08-11,19,0.657,0.659
2009-08-11,20,0.75,2.122
2009-08-11,21,0.59,1.07
2009-08-11,22,0.824,0.852
2009-08-11,23,0.52,0.782
2009-08-11,24,0.515,0.705
2009-08-12,1,0.57,0.707
2009-08-12,2,0.418,0.655
2009-08-12,3,0.49,0.581
2009-08-12,4,0.442,0.58
2009-08-12,5,0.393,0.624
2009-08-12,6,0.504,0.635
2009-08-12,7,0.345,0.683
2009-08-12,8,0.448,0.527
2009-08-12,9,0.442,0.478
2009-08-12,10,0.615,0.622
2009-08-12,11,0.209,0.407
2009-08-12,12,0.485,0.676
2009-08-12,13,0.539,0.741
2009-08-12,14,0.49,0.866
2009-08-12,15,0.608,1.274
2009-08-12,16,0.682,0.716
2009-08-12,17,0.369,0.54
2009-08-12,18,0.589,0.621
2009-08-12,19,0.895,1.674
2009-08-12,20,0.811,1.224
2009-08-12,21,0.59,0.752
2009-08-12,22,0.496,0.686
2009-08-12,23,0.656,0.765
2009-08-12,24,0.649,0.66
2009-08-13,1,0.578,0.641
2009-08-13,2,0.614,0.831
2009-08-13,3,0.501,0.708
2009-08-13,4,0.462,0.709
2009-08-13,5,0.295,0.644
2009-08-13,6,0.549,0.622
2009-08-13,7,0.264,0.651
2009-08-13,8,0.253,0.492
2009-08-13,9,0.688,0.717
2009-08-13,10,0.573,0.67
2009-08-13,11,0.421,0.497
2009-08-13,12,0.357,0.634
2009-08-13,13,0.422,0.615
2009-08-13,14,0.466,0.562
2009-08-13,15,0.249,0.509
2009-08-13,16,0.619,0.717
2009-08-13,17,0.315,0.876
2009-08-13,18,0.405,0.53
2009-08-13,19,0.505,0.612
2009-08-13,20,0.889,1.614
2009-08-13,21,0.578,0.706
2009-08-13,22,1.142,1.949
2009-08-13,23,0.953,1.018
2009-08-13,24,0.638,1.054
2009-08-14,1,0.698,1.993
2009-08-14,2,0.802,1.067
2009-08-14,3,0.918,1.076
2009-08-14,4,0.562,0.644
2009-08-14,5,0.268,0.69
2009-08-14,6,0.375,0.57
2009-08-14,7,0.47,0.541
2009-08-14,8,0.334,0.534
2009-08-14,9,0.365,0.479
2009-08-14,10,0.294,0.48
2009-08-14,11,0.544,0.806
2009-08-14,12,0.4,0.592
2009-08-14,13,0.279,0.664
2009-08-14,14,0.569,0.983
2009-08-14,15,0.291,0.37
2009-08-14,16,0.432,0.434
2009-08-14,17,0.559,0.633
2009-08-14,18,0.418,0.447
2009-08-14,19,0.253,0.389
2009-08-14,20,0.659,1.461
2009-08-14,21,0.802,2.095
2009-08-14,22,0.514,0.702
2009-08-14,23,0.491,0.707
2009-08-14,24,0.671,0.691
2009-08-15,1,0.616,0.962
2009-08-15,2,0.77,0.862
2009-08-15,3,0.873,0.979
2009-08-15,4,0.406,0.699
2009-08-15,5,0.55,0.576
2009-08-15,6,0.431,0.546
2009-08-15,7,0.405,0.567
2009-08-15,8,0.507,0.607
2009-08-15,9,0.38,0.5
2009-08-15,10,0.354,0.641
2009-08-15,11,0.501,0.711
2009-08-15,12,0.489,0.693
2009-08-15,13,0.611,0.668
2009-08-15,14,0.625,0.642
2009-08-15,15,0.637,0.654
2009-08-15,16,0.599,0.627
2009-08-15,17,0.532,0.7
2009-08-15,18,0.584,1.166
2009-08-15,19,0.855,0.878
2009-08-15,20,0.794,0.848
2009-08-15,21,0.543,0.734
2009-08-15,22,0.734,1.35
2009-08-15,23,0.482,1.063
2009-08-15,24,0.674,0.858
2009-08-16,1,0.48,0.686
2009-08-16,2,0.494,0.855
2009-08-16,3,0.677,0.718
2009-08-16,4,0.497,0.636
2009-08-16,5,0.373,0.713
2009-08-16,6,0.519,0.688
2009-08-16,7,0.31,0.644
2009-08-16,8,0.346,0.678
2009-08-16,9,0.572,0.631
2009-08-16,10,0.603,0.614
2009-08-16,11,0.385,0.803
2009-08-16,12,0.613,0.681
2009-08-16,13,0.372,0.702
2009-08-16,14,0.48,1.434
2009-08-16,15,0.569,0.792
2009-08-16,16,0.586,0.731
2009-08-16,17,0.712,0.946
2009-08-16,18,0.554,0.668
2009-08-16,19,0.703,0.732
2009-08-16,20,0.559,0.748
2009-08-16,21,0.524,0.718
2009-08-16,22,0.939,0.977
2009-08-16,23,0.832,2.37
2009-08-16,24,1.178,2.004
2009-08-17,1,0.756,0.897
2009-08-17,2,0.509,0.779
2009-08-17,3,0.412,0.722
2009-08-17,4,0.39,0.766
2009-08-17,5,0.641,0.654
